Mã đặt chỗ,Ngày đặt tour,Ngày đi tour,Mã khách hàng,Nhóm khách hàng,Loại tour,Kênh bán hàng,Kênh thanh toán,Địa điểm,Số lượng người đi,Giá gốc (VND),Giảm giá,Mức độ hoàn thành,Giá cuối cùng,Mức độ hài lòng,Trở lại sử dụng dịch vụ
B00001,6/28/2024,7/31/2024,C0088,Người đi làm,Văn hóa,Website,Thẻ,Huế,1,1826000,5%,Hoàn thành,1742000,4.4,Sai
B00002,2/12/2025,5/5/2025,C0088,Người đi làm,Khám phá,Website,Thẻ,Phú Quốc,1,6756000,22%,Hoàn thành,5270000,4,Đúng
B00003,7/20/2025,9/28/2025,C0377,Doanh nghiệp,Văn hóa,Website,Thẻ,TP.HCM,4,2098000,4%,Hoàn thành,8081000,4.7,Đúng
B00004,1/23/2024,4/2/2024,C0218,Học sinh,Biển,App điện thoại,Thẻ,Hạ Long,4,4277000,10%,Hoàn thành,15346000,4.3,Đúng
B00005,1/4/2024,2/5/2024,C0307,Người đi làm,City Break,Website,Tiền,Khác,1,1933000,25%,Hoàn thành,1454000,4.3,Sai
B00006,1/4/2024,4/3/2024,C0341,Học sinh,Văn hóa,Website,Thẻ,Huế,3,2393000,14%,Hoàn thành,6145000,4.1,Sai
B00007,4/7/2024,5/23/2024,C0323,Người đi làm,Gia đình,Gọi điện tư vấn,Chuyển khoản,Huế,2,2807000,10%,Hoàn thành,5064000,5,Đúng
B00008,2/2/2024,3/26/2024,C0038,Người đi làm,Biển,Đại lý,Ví điện tử,Đà Lạt,1,3126000,11%,Hoàn thành,2779000,3.8,Sai
B00009,5/25/2025,8/3/2025,C0059,Học sinh,Biển,Website,Thẻ,Đà Lạt,1,4503000,8%,Hoàn thành,4156000,4,Đúng
B00010,1/12/2025,3/16/2025,C0166,Người đi làm,Gia đình,Website,Thẻ,Nha Trang,3,3768000,22%,Hoàn thành,8795000,3.6,Đúng
B00011,9/2/2025,9/25/2025,C0143,Doanh nghiệp,Văn hóa,App điện thoại,Chuyển khoản,Đà Nẵng,1,1918000,9%,Hoàn thành,1749000,4.6,Đúng
B00012,5/14/2025,6/17/2025,C0314,Người đi làm,Gia đình,Đại lý,Ví điện tử,Huế,3,2330000,3%,Hoàn thành,6780000,3.9,Đúng
B00013,8/23/2025,10/1/2025,C0066,Gia đình,Biển,Đại lý,Chuyển khoản,Đà Nẵng,1,5829000,4%,Hủy bỏ,0,,Đúng
B00014,5/28/2024,8/22/2024,C0157,Người đi làm,Ăn uống,Website,Thẻ,Đà Lạt,2,1543000,6%,Hoàn thành,2888000,3.9,Sai
B00015,6/28/2024,9/3/2024,C0100,Doanh nghiệp,Gia đình,Website,Thẻ,Nha Trang,4,2735000,4%,Hoàn thành,10546000,4.2,Sai
B00016,6/13/2025,7/22/2025,C0080,Gia đình,City Break,Website,Thẻ,TP.HCM,2,2956000,4%,Hoàn thành,5670000,3.6,Đúng
B00017,6/1/2024,8/9/2024,C0073,Doanh nghiệp,Biển,Đại lý,Chuyển khoản,Đà Lạt,1,3089000,2%,Hoàn thành,3015000,3.1,Đúng
B00018,2/5/2024,4/14/2024,C0083,Gia đình,Văn hóa,Đại lý,Tiền,Hạ Long,2,2175000,18%,Hoàn thành,3550000,4.4,Sai
B00019,2/20/2025,4/2/2025,C0238,Gia đình,Biển,Website,Thẻ,TP.HCM,1,2612000,9%,Hoàn thành,2380000,3.1,Đúng
B00020,5/14/2025,6/25/2025,C0173,Người đi làm,Khám phá,App điện thoại,Tiền,Hội An,2,3680000,8%,Hoàn thành,6801000,4.6,Đúng
B00021,8/26/2025,11/16/2025,C0183,Người đi làm,Văn hóa,Website,Thẻ,Đà Lạt,2,1694000,2%,Hoàn thành,3307000,5,Đúng
B00022,8/1/2025,9/25/2025,C0202,Doanh nghiệp,Biển,App điện thoại,Tiền,TP.HCM,1,2548000,13%,Hoàn thành,2222000,4.1,Đúng
B00023,3/15/2024,4/6/2024,C0312,Người đi làm,Văn hóa,Đại lý,Thẻ,Hà Nội,1,1665000,5%,Hoàn thành,1585000,4.8,Sai
B00024,4/26/2025,7/3/2025,C0362,Học sinh,Văn hóa,App điện thoại,Tiền,Đà Nẵng,3,2667000,4%,Hoàn thành,7657000,4.2,Đúng
B00025,6/11/2025,8/7/2025,C0222,Người đi làm,Văn hóa,Website,Chuyển khoản,Hà Nội,3,2594000,15%,Hoàn thành,6630000,5,Đúng
B00026,3/10/2025,4/30/2025,C0270,Học sinh,Biển,App điện thoại,Tiền,Đà Lạt,2,4387000,18%,Hoàn thành,7230000,4,Đúng
B00027,5/25/2025,8/1/2025,C0311,Người đi làm,Văn hóa,Website,Thẻ,Sa Pa,4,2143000,6%,Hoàn thành,8101000,3,Đúng
B00028,6/6/2025,8/28/2025,C0290,Học sinh,Gia đình,Đại lý,Chuyển khoản,Phú Quốc,5,4109000,19%,Hoàn thành,16683000,4.2,Đúng
B00029,10/5/2024,11/10/2024,C0057,Người đi làm,Văn hóa,Website,Chuyển khoản,Huế,1,2326000,7%,Hoàn thành,2175000,5,Đúng
B00030,1/26/2024,3/9/2024,C0413,Học sinh,Văn hóa,Đại lý,Thẻ,Nha Trang,2,3227000,19%,Hoàn thành,5228000,4.5,Sai
B00031,10/11/2024,11/5/2024,C0070,Người đi làm,Khám phá,Website,Thẻ,Phú Quốc,1,4307000,3%,Hoàn thành,4186000,3.9,Đúng
B00032,5/5/2024,7/6/2024,C0173,Người đi làm,Gia đình,Website,Tiền,Phú Quốc,3,3607000,5%,Hoàn thành,10280000,4.4,Đúng
B00033,3/11/2024,4/22/2024,C0275,Gia đình,Biển,Website,Thẻ,Đà Nẵng,1,3672000,4%,Hoàn thành,3529000,4.7,Đúng
B00034,3/18/2024,4/24/2024,C0170,Doanh nghiệp,Khám phá,Website,Thẻ,Đà Nẵng,3,6908000,14%,Hoàn thành,17926000,4.2,Đúng
B00035,3/10/2025,5/15/2025,C0103,Người đi làm,Ăn uống,Website,Thẻ,Hội An,2,2284000,75%,Hoàn thành,4006000,5,Sai
B00036,11/10/2024,12/23/2024,C0388,Doanh nghiệp,Khám phá,App điện thoại,Thẻ,Sa Pa,1,3482000,5%,Hoàn thành,3315000,3.9,Đúng
B00037,12/2/2024,1/18/2025,C0031,Gia đình,Ăn uống,Website,Thẻ,Nha Trang,1,1739000,19%,Hoàn thành,1416000,4.7,Đúng
B00038,4/9/2025,5/24/2025,C0104,Doanh nghiệp,City Break,Website,Tiền,Đà Nẵng,1,3201000,9%,Hoàn thành,2926000,4.6,Đúng
B00039,12/7/2024,1/6/2025,C0418,Gia đình,Văn hóa,Website,Thẻ,Huế,2,4208000,14%,Hoàn thành,7238000,3.9,Sai
B00040,1/27/2025,2/16/2025,C0307,Người đi làm,Văn hóa,Website,Chuyển khoản,TP.HCM,3,2762000,17%,Hoàn thành,6886000,4,Đúng
B00041,2/23/2024,5/10/2024,C0037,Học sinh,Gia đình,Đại lý,Thẻ,Huế,3,2382000,3%,Hoàn thành,6924000,4.7,Sai
B00042,6/14/2025,7/1/2025,C0317,Người đi làm,Ăn uống,Đại lý,Thẻ,Sa Pa,1,2563000,3%,Hoàn thành,2486000,4.3,Đúng
B00043,10/6/2024,11/11/2024,C0408,Gia đình,Văn hóa,Website,Thẻ,Hạ Long,2,5078000,12%,Hủy bỏ,0,,Đúng
B00044,4/6/2024,6/9/2024,C0042,Gia đình,Biển,Đại lý,Chuyển khoản,Sa Pa,1,4308000,9%,Hoàn thành,3942000,3.4,Sai
B00045,5/21/2025,6/10/2025,C0174,Doanh nghiệp,Khám phá,Đại lý,Ví điện tử,Đà Nẵng,2,3666000,12%,Hoàn thành,6474000,4.5,Đúng
B00046,4/2/2025,6/4/2025,C0197,Gia đình,Biển,Gọi điện tư vấn,Thẻ,Phú Quốc,1,3905000,5%,Hoàn thành,3706000,4.3,Đúng
B00047,2/3/2024,4/12/2024,C0056,Gia đình,Gia đình,Website,Thẻ,Sa Pa,2,3615000,10%,Hoàn thành,6500000,4.2,Sai
B00048,4/30/2024,7/2/2024,C0085,Học sinh,Khám phá,Website,Thẻ,Sa Pa,1,3528000,3%,Hoàn thành,3440000,4.4,Đúng
B00049,1/10/2024,2/13/2024,C0073,Doanh nghiệp,Gia đình,App điện thoại,Thẻ,Đà Nẵng,5,4572000,14%,Hoàn thành,19660000,4,Sai
B00050,6/17/2024,6/28/2024,C0078,Gia đình,City Break,Đại lý,Chuyển khoản,TP.HCM,1,1849000,5%,Hoàn thành,1760000,3.9,Đúng
B00051,3/3/2024,5/23/2024,C0170,Doanh nghiệp,Gia đình,Đại lý,Thẻ,Đà Lạt,3,2610000,10%,Hoàn thành,7016000,4.1,Sai
B00052,3/18/2025,4/23/2025,C0195,Học sinh,Gia đình,App điện thoại,Ví điện tử,Nha Trang,4,2701000,11%,Hoàn thành,9572000,4,Đúng
B00053,11/21/2024,2/4/2025,C0100,Doanh nghiệp,Gia đình,Website,Tiền,Hội An,5,2945000,15%,Hoàn thành,12472000,5,Đúng
B00054,9/2/2025,9/28/2025,C0122,Gia đình,City Break,Đại lý,Thẻ,Hạ Long,1,2253000,9%,Hoàn thành,2059000,4.7,Đúng
B00055,4/11/2025,5/4/2025,C0081,Gia đình,City Break,Đại lý,Chuyển khoản,Sa Pa,1,2233000,7%,Hoàn thành,2068000,3.7,Đúng
B00056,1/15/2025,3/29/2025,C0335,Học sinh,Biển,Website,Thẻ,Phú Quốc,2,4008000,15%,Hoàn thành,6846000,5,Đúng
B00057,11/13/2024,2/7/2025,C0089,Học sinh,Khám phá,App điện thoại,Chuyển khoản,Đà Nẵng,1,5934000,0%,Hoàn thành,5934000,4,Đúng
B00058,2/3/2024,4/22/2024,C0382,Doanh nghiệp,Biển,Website,Thẻ,Nha Trang,2,4416000,8%,Hoàn thành,8090000,4.2,Sai
B00059,2/13/2024,4/23/2024,C0227,Học sinh,City Break,App điện thoại,Chuyển khoản,Đà Lạt,1,2932000,5%,Hủy bỏ,0,,Đúng
B00060,1/18/2025,2/16/2025,C0338,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Nẵng,2,3548000,19%,Hoàn thành,5734000,3.2,Đúng
B00061,1/3/2024,3/26/2024,C0268,Học sinh,Văn hóa,Đại lý,Thẻ,Hà Nội,1,2210000,9%,Hủy bỏ,0,,Sai
B00062,1/27/2024,3/31/2024,C0112,Người đi làm,Biển,Gọi điện tư vấn,Chuyển khoản,Đà Lạt,2,4644000,9%,Hoàn thành,8489000,3.9,Sai
B00063,5/16/2024,6/8/2024,C0253,Người đi làm,Văn hóa,Website,Thẻ,Đà Nẵng,1,2279000,6%,Hoàn thành,2147000,4.3,Sai
B00064,7/4/2025,7/24/2025,C0116,Doanh nghiệp,Gia đình,Website,Thẻ,Hội An,3,2282000,4%,Hoàn thành,6600000,4.4,Đúng
B00065,10/12/2024,12/31/2024,C0050,Học sinh,Biển,Website,Chuyển khoản,Hà Nội,1,4885000,4%,Hoàn thành,4670000,4.2,Đúng
B00066,3/18/2025,4/19/2025,C0107,Người đi làm,Biển,Website,Thẻ,Đà Nẵng,2,4069000,13%,Hoàn thành,7113000,4.1,Đúng
B00067,9/13/2024,11/24/2024,C0116,Doanh nghiệp,City Break,Website,Chuyển khoản,Hà Nội,1,2276000,10%,Hoàn thành,2060000,4.7,Đúng
B00068,4/17/2024,5/8/2024,C0057,Người đi làm,Gia đình,Website,Tiền,Phú Quốc,4,2936000,9%,Hoàn thành,10640000,4.4,Sai
B00069,8/19/2024,9/20/2024,C0010,Người đi làm,Biển,Website,Tiền,Hội An,2,4156000,6%,Hoàn thành,7822000,4.2,Đúng
B00070,2/27/2024,3/30/2024,C0397,Gia đình,Văn hóa,Website,Thẻ,Đà Lạt,1,1795000,5%,Hoàn thành,1703000,4.3,Sai
B00071,4/24/2025,5/26/2025,C0216,Gia đình,Ăn uống,Website,Thẻ,TP.HCM,4,3063000,12%,Hoàn thành,10733000,5,Đúng
B00072,4/24/2024,6/27/2024,C0169,Người đi làm,Văn hóa,Đại lý,Ví điện tử,Huế,4,2218000,7%,Hoàn thành,8233000,4.3,Sai
B00073,8/22/2024,11/14/2024,C0391,Gia đình,Gia đình,Website,Thẻ,Hội An,3,2034000,3%,Hoàn thành,5895000,3.9,Đúng
B00074,9/2/2025,11/24/2025,C0095,Người đi làm,Văn hóa,App điện thoại,Thẻ,Phú Quốc,1,1702000,17%,Hoàn thành,1419000,3.2,Đúng
