booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning,,
B00001,6/28/2024,7/31/2024,C0088,Young Professional,Cultural,Website,Card,Huế,1,1826000,5%,Completed,1742000,4.4,FALSE,,
B00002,2/12/2025,5/5/2025,C0088,Young Professional,Adventure,Website,Card,Phú Quốc,1,6756000,22%,Completed,5270000,4,TRUE,,
B00003,7/20/2025,9/28/2025,C0377,Corporate,Cultural,Website,Card,TP.HCM,4,2098000,4%,Completed,8081000,4.7,TRUE,,
B00004,1/23/2024,4/2/2024,C0218,Student,Beach,Mobile App,Card,Hạ Long,4,4277000,10%,Completed,15346000,4.3,TRUE,,
B00005,1/4/2024,2/5/2024,C0307,Young Professional,City Break,Website,Cash,,1,1933000,25%,Completed,1454000,4.3,FALSE,,0
B00006,1/4/2024,4/3/2024,C0341,Student,Cultural,Website,Card,Huế,3,2393000,14%,Completed,6145000,4.1,FALSE,,
B00007,4/7/2024,5/23/2024,C0323,Young Professional,Family,Call Center,Bank Transfer,Huế,2,2807000,10%,Completed,5064000,5,TRUE,,
B00008,2/2/2024,3/26/2024,C0038,Young Professional,Beach,Agent,E-wallet,Đà Lạt,1,3126000,11%,Completed,2779000,3.8,FALSE,,
B00009,5/25/2025,8/3/2025,C0059,Student,Beach,Website,Card,Đà Lạt,1,4503000,8%,Completed,4156000,4,TRUE,,
B00010,1/12/2025,3/16/2025,C0166,Young Professional,Family,Website,Card,Nha Trang,3,3768000,22%,Completed,8795000,3.6,TRUE,,
B00011,9/2/2025,9/25/2025,C0143,Corporate,Cultural,Mobile App,Bank Transfer,Đà Nẵng,1,1918000,9%,Completed,1749000,4.6,TRUE,,
B00012,5/14/2025,6/17/2025,C0314,Young Professional,Family,Agent,E-wallet,Huế,3,2330000,3%,Completed,6780000,3.9,TRUE,,
B00013,8/23/2025,10/1/2025,C0066,Family,Beach,Agent,Bank Transfer,Đà Nẵng,1,5829000,4%,Cancelled,0,,TRUE,,
B00014,5/28/2024,8/22/2024,C0157,Young Professional,Foodie,Website,Card,Đà Lạt,2,1543000,6%,Completed,2888000,3.9,FALSE,,
B00015,6/28/2024,9/3/2024,C0100,Corporate,Family,Website,Card,Nha Trang,4,2735000,4%,Completed,10546000,4.2,FALSE,,
B00016,6/13/2025,7/22/2025,C0080,Family,City Break,Website,Card,TP.HCM,2,2956000,4%,Completed,5670000,3.6,TRUE,,
